,mu_hat
A,0.09194730924156942
AAPL,0.187725364877026
ABBV,0.14198992352273546
ABT,0.1027472685399603
ACGL,0.13519315263330262
ACN,0.1266388460124869
ADBE,0.15159783470278765
ADI,0.1325968173612155
ADM,0.001653326547579038
ADP,0.12692339351027013
ADSK,0.12181995375885765
AEE,0.09417792046604107
AEP,0.07383096146341077
AES,-0.005636818484965155
AFL,0.12411849526450389
AIG,0.03658745743344955
AIZ,0.11919456686578173
AJG,0.19398930507996842
AKAM,-0.010169031606742486
ALB,0.015932939872436193
ALGN,0.08508887051126088
ALL,0.10304657400355642
ALLE,0.06142386715786576
AMAT,0.1735072740084133
AMCR,0.017789068607604715
AMD,0.32811574378547076
AME,0.10743566422252873
AMGN,0.07216844903222726
AMP,0.130025534451338
AMT,0.0733007529409163
AMZN,0.2138798292970351
ANET,0.2789567344086803
ANSS,0.10866839796048593
AON,0.12633453015575505
AOS,0.06454263716187121
APA,-0.13136222763161406
APD,0.07602129672472585
APH,0.13277465522603657
APO,0.20448196633754764
APTV,-0.02658011210829316
ARE,0.011154588469626688
ATO,0.10412155685418403
AVB,0.03680527659478825
AVGO,0.2723488592056843
AVY,0.11698542954874064
AWK,0.09132398011595663
AXON,0.29299177192220877
AXP,0.1167781238254443
AZO,0.14390273089333463
BA,-0.009026509567168925
BAC,0.09587008372685273
BALL,0.021287725813708865
BAX,-0.015620845282864096
BBY,0.07464298142539326
BDX,0.03408309298125222
BEN,-0.08171878376143667
BF-B,-0.018788839411299527
BG,-0.009587800558834675
BIIB,-0.13241617744512837
BK,0.07869313546630453
BKNG,0.11585319624286905
BKR,-0.0013325913241168286
BLDR,0.2851864612332272
BLK,0.09575348206155866
BMY,-0.0030383419633615272
BR,0.1455159515888984
BRK-B,0.09928835181546172
BRO,0.18820407706882858
BSX,0.1588054216321882
BWA,-0.07685573559369542
BX,0.16219573263380585
BXP,-0.0584385015600419
C,0.03293396684049765
CAG,0.0017906520029479292
CAH,0.039684516235939535
CAT,0.14146449730344535
CB,0.08852641185047837
CBOE,0.12183612796797742
CBRE,0.11705852088425603
CCI,0.025452864045620433
CCL,-0.08113295994606771
CDNS,0.23471518715539028
CDW,0.13832368334977907
CE,-0.024537310434853857
CF,0.025004694365128668
CFG,0.06725048703122748
CHD,0.08534030847212717
CHRW,0.027987850530643347
CHTR,0.04424608787410657
CI,0.07608805217469183
CINF,0.10562162345963025
CL,0.024274566876456707
CLX,0.03478669826576465
CMCSA,0.013692042853573253
CME,0.11266051661766942
CMG,0.11512110191876539
CMI,0.09211567863279405
CMS,0.08147572370229479
CNC,0.037685524229740176
CNP,0.05974152517836239
COF,0.08016610716063671
COO,0.0552820360494014
COP,0.04206427003191861
COR,0.08032484500852091
COST,0.19000191661545643
CPAY,0.05903390384686359
CPB,-0.008296027085063258
CPRT,0.22290947447156653
CPT,0.06779650342808466
CRL,0.05214966801916601
CRM,0.1258896431714205
CSCO,0.08430850514326547
CSGP,0.11207177497838913
CSX,0.09229541474229802
CTAS,0.22543587177925867
CTRA,-0.004201514681046059
CTSH,0.016260287121653432
CVS,-0.04443769288437921
CVX,0.05552946624058952
CZR,0.16293798348995145
D,-0.008410474130902136
DAL,0.006727556707700219
DD,0.009298531908862076
DE,0.15727287312557198
DECK,0.21518498482870138
DFS,0.10869596757734905
DG,-0.01118735809728978
DGX,0.08563802238122357
DHI,0.1421045431604783
DHR,0.15287411216590946
DIS,-0.013275041187893143
DLR,0.09973803456637302
DLTR,-0.041761721894397266
DOC,-0.03576690220431141
DOV,0.1102629409997443
DPZ,0.14129910708550336
DRI,0.12868371834992193
DTE,0.07490642498050086
DUK,0.05898660818762797
DVA,0.03696065513650758
DVN,-0.048507806384337805
DXCM,0.14729330642830088
EA,0.06190069653899004
EBAY,0.08623858460223055
ECL,0.07057120314353242
ED,0.06267956722371477
EFX,0.08083729886598737
EG,0.06605922744392854
EIX,-0.001155214887311791
EL,-0.031350307077223256
ELV,0.08953288496457457
EMN,0.028210521911622405
EMR,0.07156671159854693
ENPH,0.1211993100610234
EOG,0.03403347584139611
EPAM,0.09641789216366925
EQIX,0.14100731721847315
EQR,0.02141407509202052
EQT,-0.004308465073267473
ERIE,0.16491134827617465
ES,0.026972747302707885
ESS,0.040269091014201466
ETN,0.14044155148400012
ETR,0.11425294217396349
EVRG,0.0691113577333845
EW,0.09109121328881754
EXC,0.0746161677962446
EXPD,0.07906404320174289
EXPE,0.055156511752949174
EXR,0.09755449170285337
F,-0.027388352648292084
FANG,0.06921214583570133
FAST,0.1353422687439305
FCX,0.037378185888415245
FDS,0.09338606117435137
FDX,0.024304494418682723
FE,0.031204847268706006
FFIV,0.06133518729425451
FI,0.15155255084058203
FICO,0.2873301633536322
FIS,-0.0038998927511867914
FITB,0.08707259711718922
FMC,-0.04624922116971239
FRT,-0.02036903416958466
FSLR,0.05212716526256992
FTNT,0.25370595151680914
GD,0.05894606877994577
GE,0.038019291232244415
GEN,0.08279901308962434
GILD,0.01995165649572383
GIS,0.023484535462147644
GL,0.06885201685770449
GLW,0.06626277914533299
GM,0.018914285668749604
GNRC,0.07062064490367255
GOOG,0.15695995783524166
GOOGL,0.1548242292902174
GPC,0.030169083189866643
GPN,0.05699599086191044
GRMN,0.15735425298858888
GS,0.108262592580708
GWW,0.13663207220213083
HAL,-0.06533354318368345
HAS,0.0067769760417429265
HBAN,0.05131736737072023
HCA,0.1257371545346741
HD,0.119987029356141
HES,0.05689245557856022
HIG,0.103909959147264
HII,0.012766977208486607
HLT,0.1293919197962643
HOLX,0.04128250274001945
HON,0.07174136359287597
HPQ,0.07089298173319633
HRL,-0.002455774708083229
HSIC,-0.0005167544446174209
HST,-0.013934696444583445
HSY,0.05445856853672422
HUBB,0.1142901067818244
HUM,0.032431398261413044
IBM,0.06986479601422882
ICE,0.11863133237387768
IDXX,0.14910227174016516
IEX,0.07763755301134645
IFF,-0.04301857668517627
INCY,-0.04830997723912083
INTC,-0.04624579595997061
INTU,0.1665118847341241
IP,0.01428724991345925
IPG,0.029993041508739084
IQV,0.08003004040653798
IRM,0.12222262160234235
ISRG,0.20784642526676467
IT,0.15492493820754474
ITW,0.09504424644241918
IVZ,-0.07320006184431577
J,0.10487399499785913
JBHT,0.04818516643338354
JBL,0.1715427309607997
JCI,0.07046636323185984
JKHY,0.08623744589956682
JNJ,0.052242584185261474
JNPR,0.04436563502052896
JPM,0.14350567400799633
K,0.0397281380085743
KDP,0.09735733284651536
KEY,0.03034062990599812
KEYS,0.11663165777747113
KIM,0.004568312371177447
KKR,0.16355795471556772
KLAC,0.23770581302267857
KMB,0.03453418477657122
KMI,-0.01518369252266776
KMX,-0.001977812954682728
KO,0.057866258331310434
KR,0.05489284375511831
L,0.05467225424633285
LDOS,0.1332342392847144
LEN,0.07589842003250298
LH,0.06781979972480999
LHX,0.09539087783599598
LII,0.15639496121156343
LIN,0.12309812456029233
LKQ,0.03915072801195971
LLY,0.2518713658042823
LMT,0.08428171977951762
LNT,0.08086811420771821
LOW,0.11194882932940967
LRCX,0.276757566429647
LULU,0.14287794677728763
LUV,-0.05517014000214102
LVS,-0.01823398293461922
LYB,0.0072096991492876855
LYV,0.1431263692428011
MA,0.1630139794130718
MAA,0.09402848040890825
MAR,0.10419055279869781
MAS,0.10462880123781863
MCD,0.11306059633235443
MCHP,0.07689658151123699
MCK,0.08797196956386012
MCO,0.14919994404921097
MDLZ,0.05549002933894818
MDT,0.017140849452517388
MET,0.06761713628414848
META,0.18425940196156107
MGM,0.020259408490611835
MHK,-0.07464098566405335
MKC,0.07303033083562395
MKTX,0.07040911098525342
MLM,0.10163509276220327
MMC,0.1373284292016428
MMM,0.013339293887892725
MNST,0.061680256417384845
MO,0.04061282371680395
MOH,0.13699248648492302
MOS,-0.0880975813684843
MPC,0.1107673784324737
MPWR,0.22694177167668447
MRK,0.058033523275216256
MS,0.12840193989352508
MSCI,0.21848947220645473
MSFT,0.21202989595537516
MSI,0.17701683821373598
MTB,0.042830288051849665
MTCH,0.026338475770026792
MTD,0.11416387200502595
MU,0.0919929130971681
NCLH,-0.11292617308799818
NDAQ,0.14657026365101467
NDSN,0.08571864236491351
NEE,0.10476198123632459
NEM,0.051823233926722626
NFLX,0.2449687275667658
NI,0.09529653492044102
NKE,0.033495350773913586
NOC,0.09652160797373097
NOW,0.22850591018049168
NRG,0.14107749887640283
NSC,0.07658156279632437
NTAP,0.09237364738829755
NTRS,0.04250938364186836
NUE,0.1014020840094406
NVDA,0.5169809125098249
NVR,0.14637561753388942
NWS,0.0524041235892934
NWSA,0.0375763392766754
NXPI,0.06068996198435804
O,0.03855186461542345
ODFL,0.17127102317736193
OKE,0.11270174376954377
OMC,0.010645048397692381
ON,0.09915372959268857
ORCL,0.12035978769073104
ORLY,0.164486411048544
OXY,-0.04619235544846651
PANW,0.18126070091546093
PARA,-0.17527870108884644
PAYC,0.17086654373749072
PAYX,0.12036549789688794
PCAR,0.1035418975478714
PCG,-0.1366507542271806
PEG,0.07913194277973717
PEP,0.050235864965454985
PFE,-0.008927769188526684
PFG,0.06522931950198482
PG,0.0760127651275396
PGR,0.23902459428718756
PH,0.15760236522648005
PHM,0.1433266304208908
PKG,0.09904629143873453
PLD,0.11091079786531131
PM,0.09010208419587672
PNC,0.0744542597419761
PNR,0.06643175502010513
PNW,0.05271245010076939
PODD,0.19359937809252073
POOL,0.14854812186339877
PPG,-0.014939786537483415
PPL,0.03299986633672446
PRU,0.049616374720403665
PSA,0.059569212140145954
PSX,0.0577344517886962
PTC,0.13156753185583175
PWR,0.19562858193236587
QCOM,0.08253396914546482
RCL,0.09156897363523185
REG,0.027958829909977497
REGN,0.02491619264540272
RF,0.0962437703796664
RJF,0.12318421914710358
RL,0.05909044336454215
RMD,0.11636201568031405
ROK,0.0807670861359391
ROL,0.15535433408924113
ROP,0.10770948671951125
ROST,0.08081728578516688
RSG,0.16951524087799796
RTX,0.052511647751045734
RVTY,0.06466622462822963
SBAC,0.03749460746324646
SBUX,0.08364356124948467
SCHW,0.08060148793805626
SHW,0.117413998876394
SJM,0.0004567051076302533
SLB,-0.07529969362046408
SMCI,0.20726602759508278
SNA,0.07928633876892742
SNPS,0.20373732568941094
SO,0.08893307107238693
SPG,0.02195671445238039
SPGI,0.14837629344996656
SRE,0.03361122526853776
