,alpha,beta,r2,se_beta,tstat_alpha,pval_alpha,avg_excess_ret
HRL,-0.001313,0.175452,0.017467,0.120630,-0.245511,0.806484,-0.000201
HSY,0.002877,0.249772,0.041531,0.109995,0.590193,0.556180,0.004460
CPB,-0.002327,0.260018,0.037624,0.120551,-0.435454,0.664022,-0.000679
GIS,0.000196,0.272572,0.054147,0.104431,0.042425,0.966231,0.001923
SJM,-0.001784,0.287492,0.051690,0.112882,-0.356561,0.722052,0.000037
BIIB,-0.012769,0.303890,0.021762,0.186776,-1.542468,0.125615,-0.010844
ED,0.003182,0.307959,0.069913,0.102968,0.697217,0.487027,0.005133
CMS,0.004530,0.338084,0.094770,0.095785,1.067120,0.288078,0.006672
XEL,0.004233,0.341312,0.089903,0.099549,0.959492,0.339256,0.006396
CTRA,-0.002528,0.344688,0.025498,0.195339,-0.291962,0.770824,-0.000344
LLY,0.018396,0.351996,0.046908,0.145448,2.853639,0.005099,0.020626
NEM,0.001983,0.356916,0.023057,0.212975,0.210045,0.833991,0.004244
WEC,0.004557,0.360529,0.098455,0.100009,1.028001,0.306034,0.006841
DUK,0.002303,0.398990,0.133254,0.093281,0.556981,0.578586,0.004830
AEE,0.005126,0.408206,0.135949,0.094338,1.226012,0.222615,0.007712
CLX,0.000254,0.409647,0.086514,0.122024,0.046875,0.962692,0.002849
CME,0.006629,0.409872,0.120858,0.101337,1.475981,0.142590,0.009226
ERIE,0.010900,0.411113,0.061276,0.147506,1.667280,0.098088,0.013505
DG,-0.003541,0.414263,0.050934,0.163926,-0.487317,0.626930,-0.000916
KMB,0.000194,0.415698,0.127866,0.099522,0.044093,0.964904,0.002828
PG,0.003574,0.418451,0.162156,0.087194,0.924751,0.356967,0.006225
CHD,0.004295,0.425166,0.118459,0.106322,0.911449,0.363902,0.006989
K,0.000521,0.431366,0.124936,0.104652,0.112232,0.910828,0.003253
MRK,0.001969,0.439366,0.119753,0.109197,0.406821,0.684871,0.004752
SO,0.004493,0.440320,0.142680,0.098943,1.024619,0.307622,0.007283
PNW,0.001527,0.440396,0.111286,0.114086,0.301922,0.763238,0.004317
NI,0.004979,0.445941,0.145226,0.099176,1.132660,0.259634,0.007804
VZ,-0.001778,0.446596,0.142234,0.100537,-0.398934,0.690657,0.001052
AEP,0.003213,0.447201,0.137664,0.102602,0.706531,0.481239,0.006046
PGR,0.016721,0.450237,0.115009,0.114491,3.295260,0.001296,0.019574
FE,-0.000307,0.451752,0.117970,0.113235,-0.061081,0.951397,0.002555
REGN,-0.000846,0.455684,0.048143,0.185742,-0.102819,0.918279,0.002040
GILD,-0.001316,0.465599,0.090278,0.135488,-0.219117,0.826934,0.001634
NOC,0.004904,0.473636,0.119890,0.117638,0.940489,0.348872,0.007904
NEE,0.005574,0.474411,0.118762,0.118465,1.061517,0.290605,0.008579
EXC,0.003092,0.476417,0.156469,0.101403,0.688016,0.492781,0.006110
TMUS,0.012336,0.489177,0.134662,0.113675,2.448573,0.015801,0.015435
WMT,0.006735,0.492157,0.162169,0.102547,1.481792,0.141039,0.009853
CL,-0.001203,0.503637,0.228530,0.084827,-0.319918,0.749592,0.001988
CAG,-0.003071,0.507952,0.098067,0.141213,-0.490725,0.624525,0.000147
D,-0.003914,0.509073,0.172442,0.102231,-0.863777,0.389448,-0.000689
ES,-0.001020,0.509636,0.156937,0.108281,-0.212499,0.832081,0.002209
CBOE,0.006725,0.513408,0.132643,0.120350,1.260700,0.209883,0.009977
LNT,0.003367,0.513908,0.193750,0.096101,0.790413,0.430859,0.006622
PEP,0.000836,0.517407,0.291584,0.073930,0.255125,0.799067,0.004114
AWK,0.004156,0.524499,0.164739,0.108264,0.866067,0.388196,0.007479
EVRG,0.002317,0.527685,0.170478,0.106704,0.489838,0.625151,0.005660
EG,0.002035,0.532604,0.134798,0.123694,0.371281,0.711088,0.005410
KR,0.001075,0.539899,0.096712,0.151256,0.160331,0.872892,0.004495
KO,0.001298,0.543041,0.266017,0.082689,0.354288,0.723750,0.004739
MKC,0.002514,0.547220,0.169612,0.110994,0.510985,0.610309,0.005980
PSA,0.001409,0.547667,0.155240,0.117114,0.271367,0.786579,0.004878
PEG,0.003005,0.548520,0.216856,0.095555,0.709579,0.479353,0.006480
JNJ,0.000783,0.551766,0.282294,0.080650,0.218947,0.827066,0.004278
