,alpha,beta,r2,se_beta,tstat_alpha,pval_alpha,avg_excess_ret
NVDA,0.031155,1.764844,0.350200,0.220376,3.189714,0.001821,0.042336
LLY,0.018396,0.351996,0.046908,0.145448,2.853639,0.005099,0.020626
PGR,0.016721,0.450237,0.115009,0.114491,3.295260,0.001296,0.019574
AVGO,0.016001,0.994738,0.257898,0.154683,2.333930,0.021277,0.022303
FICO,0.015557,1.258389,0.416069,0.136659,2.568532,0.011450,0.023530
NCLH,-0.025940,2.634929,0.416428,0.285938,-2.046862,0.042874,-0.009248
PARA,-0.024787,1.646897,0.291830,0.235178,-2.378006,0.018999,-0.014354
VTRS,-0.023373,1.243322,0.266820,0.188932,-2.791256,0.006118,-0.015497
WBD,-0.020670,1.514354,0.280661,0.222244,-2.098398,0.037985,-0.011076
WBA,-0.020139,0.696378,0.122276,0.171033,-2.656769,0.008972,-0.015728
