,rf_daily
2015-03-05,8.285903801331401e-05
2015-03-06,8.790795492513206e-05
2015-03-09,8.635512611711393e-05
2015-03-10,8.402474298177209e-05
2015-03-11,8.285903801331401e-05
2015-03-12,8.247039358146195e-05
2015-03-13,8.36362127060171e-05
2015-03-16,8.247039358146195e-05
2015-03-17,8.091543511005548e-05
2015-03-18,7.585760790567517e-05
2015-03-19,7.780368904332679e-05
2015-03-20,7.585760790567517e-05
2015-03-23,7.546827712603949e-05
2015-03-24,7.391057191732071e-05
2015-03-25,7.585760790567517e-05
2015-03-26,7.89708797870483e-05
2015-03-27,7.663615489036859e-05
2015-03-30,7.702537111041027e-05
2015-03-31,7.624690049128718e-05
2015-04-01,7.35210500550935e-05
2015-04-02,7.546827712603949e-05
2015-04-06,7.546827712603949e-05
2015-04-07,7.430005554802583e-05
2015-04-08,7.546827712603949e-05
2015-04-09,7.741454915890085e-05
2015-04-10,7.702537111041027e-05
2015-04-13,7.624690049128718e-05
2015-04-14,7.468950095471296e-05
2015-04-15,7.5078908144884e-05
2015-04-16,7.468950095471296e-05
2015-04-17,7.35210500550935e-05
2015-04-20,7.468950095471296e-05
2015-04-21,7.546827712603949e-05
2015-04-22,7.819279077117234e-05
2015-04-23,7.702537111041027e-05
2015-04-24,7.585760790567517e-05
2015-04-27,7.624690049128718e-05
2015-04-28,7.858185434991956e-05
2015-04-29,8.091543511005548e-05
2015-04-30,8.052660026889838e-05
2015-05-01,8.32476443856818e-05
2015-05-04,8.48016894293355e-05
2015-05-05,8.596682395248554e-05
2015-05-06,8.829606720166557e-05
2015-05-07,8.557848378793883e-05
2015-05-08,8.48016894293355e-05
2015-05-11,8.946017632894617e-05
2015-05-12,8.946017632894617e-05
2015-05-13,8.907217789615078e-05
2015-05-14,8.751980468583854e-05
2015-05-15,8.402474298177209e-05
2015-05-18,8.751980468583854e-05
2015-05-19,8.907217789615078e-05
2015-05-20,8.868414152286415e-05
2015-05-21,8.596682395248554e-05
2015-05-22,8.674339028926004e-05
2015-05-26,8.402474298177209e-05
2015-05-27,8.402474298177209e-05
2015-05-28,8.36362127060171e-05
2015-05-29,8.32476443856818e-05
2015-06-01,8.596682395248554e-05
2015-06-02,8.907217789615078e-05
2015-06-03,9.333807556089629e-05
2015-06-04,9.062394405856003e-05
2015-06-05,9.450070674307494e-05
2015-06-08,9.372565713743662e-05
2015-06-09,9.488817478695587e-05
2015-06-10,9.798655789829926e-05
2015-06-11,9.372565713743662e-05
2015-06-12,9.372565713743662e-05
2015-06-15,9.256279882339983e-05
2015-06-16,9.101179080355552e-05
2015-06-17,9.101179080355552e-05
2015-06-18,9.217510364764779e-05
2015-06-19,8.868414152286415e-05
2015-06-22,9.295045612534964e-05
2015-06-23,9.488817478695587e-05
2015-06-24,9.333807556089629e-05
2015-06-25,9.411320086236534e-05
2015-06-26,9.75993922832545e-05
2015-06-29,9.13995996451301e-05
2015-06-30,9.217510364764779e-05
2015-07-01,9.527560500139624e-05
2015-07-02,9.411320086236534e-05
2015-07-06,9.023605940273548e-05
2015-07-07,8.907217789615078e-05
2015-07-08,8.713161647635769e-05
2015-07-09,9.101179080355552e-05
2015-07-10,9.488817478695587e-05
2015-07-13,9.566299739378216e-05
2015-07-14,9.450070674307494e-05
2015-07-15,9.256279882339983e-05
2015-07-16,9.256279882339983e-05
2015-07-17,9.178737059069232e-05
2015-07-20,9.333807556089629e-05
2015-07-21,9.217510364764779e-05
2015-07-22,9.13995996451301e-05
2015-07-23,8.946017632894617e-05
2015-07-24,8.907217789615078e-05
2015-07-27,8.751980468583854e-05
2015-07-28,8.868414152286415e-05
2015-07-29,8.984813682866894e-05
2015-07-30,8.946017632894617e-05
2015-07-31,8.635512611711393e-05
2015-08-03,8.48016894293355e-05
2015-08-04,8.751980468583854e-05
2015-08-05,8.946017632894617e-05
2015-08-06,8.751980468583854e-05
2015-08-07,8.557848378793883e-05
2015-08-10,8.790795492513206e-05
2015-08-11,8.441323522039592e-05
2015-08-12,8.402474298177209e-05
2015-08-13,8.596682395248554e-05
2015-08-14,8.635512611711393e-05
2015-08-17,8.48016894293355e-05
2015-08-18,8.635512611711393e-05
2015-08-19,8.32476443856818e-05
2015-08-20,8.208171108266905e-05
2015-08-21,8.052660026889838e-05
2015-08-24,7.89708797870483e-05
2015-08-25,8.32476443856818e-05
2015-08-26,8.557848378793883e-05
2015-08-27,8.557848378793883e-05
2015-08-28,8.596682395248554e-05
2015-08-31,8.674339028926004e-05
2015-09-01,8.519010561603561e-05
2015-09-02,8.635512611711393e-05
2015-09-03,8.557848378793883e-05
2015-09-04,8.36362127060171e-05
2015-09-08,8.635512611711393e-05
2015-09-09,8.674339028926004e-05
2015-09-10,8.751980468583854e-05
2015-09-11,8.635512611711393e-05
